scenario,trial,follower_id,switching_time_s,detection_ok,n_anchors,n_followers,pass_threshold_s,wall_time_s
S1,15,4,6.017546444199979,True,3,10,15.0,16.79
S1,15,5,6.079309264663607,True,3,10,15.0,16.79
S1,15,6,6.070630467031151,True,3,10,15.0,16.79
S1,15,7,6.081924092024565,True,3,10,15.0,16.79
S1,15,8,6.1774968900717795,True,3,10,15.0,16.79
S1,15,9,6.098852919880301,True,3,10,15.0,16.79
S1,16,0,6.0893046958372,True,3,10,15.0,16.54
S1,16,1,6.036764920223504,True,3,10,15.0,16.54
S1,16,2,6.009979490190744,True,3,10,15.0,16.54
S1,16,3,6.059222231153399,True,3,10,15.0,16.54
S1,16,4,6.052853161934763,True,3,10,15.0,16.54
S1,16,5,6.044272424187511,True,3,10,15.0,16.54
S1,16,6,6.00390211911872,True,3,10,15.0,16.54
S1,16,7,6.090975647326559,True,3,10,15.0,16.54
S1,16,8,6.018482888117433,True,3,10,15.0,16.54
S1,16,9,6.028255020733923,True,3,10,15.0,16.54
S1,17,0,6.091068266890943,True,3,10,15.0,16.56
S1,17,1,6.098800180014223,True,3,10,15.0,16.56
S1,17,2,6.055550968740135,True,3,10,15.0,16.56
S1,17,3,6.0684190657921135,True,3,10,15.0,16.56
S1,17,4,6.101313876919448,True,3,10,15.0,16.56
S1,17,5,6.0964919603429735,True,3,10,15.0,16.56
S1,17,6,6.079489303287119,True,3,10,15.0,16.56
S1,17,7,6.038035432808101,True,3,10,15.0,16.56
S1,17,8,6.106547391973436,True,3,10,15.0,16.56
S1,17,9,6.096656300127506,True,3,10,15.0,16.56
S1,18,0,6.0504143931902945,True,3,10,15.0,16.66
S1,18,1,6.073630651924759,True,3,10,15.0,16.66
S1,18,2,6.097824804019183,True,3,10,15.0,16.66
S1,18,3,6.103413218166679,True,3,10,15.0,16.66
S1,18,4,6.079811272211373,True,3,10,15.0,16.66
S1,18,5,6.054971581790596,True,3,10,15.0,16.66
S1,18,6,6.01899274578318,True,3,10,15.0,16.66
S1,18,7,6.039984324015677,True,3,10,15.0,16.66
S1,18,8,6.105223267804831,True,3,10,15.0,16.66
S1,18,9,6.071793899871409,True,3,10,15.0,16.66
S1,19,0,6.05488491198048,True,3,10,15.0,16.7
S1,19,1,6.046570383012295,True,3,10,15.0,16.7
S1,19,2,6.109784157015383,True,3,10,15.0,16.7
S1,19,3,6.066629135981202,True,3,10,15.0,16.7
S1,19,4,6.095346597023308,True,3,10,15.0,16.7
S1,19,5,6.1189806326292455,True,3,10,15.0,16.7
S1,19,6,6.02564782416448,True,3,10,15.0,16.7
S1,19,7,6.13164144102484,True,3,10,15.0,16.7
S1,19,8,6.064470636192709,True,3,10,15.0,16.7
S1,19,9,6.019903702195734,True,3,10,15.0,16.7
S1,20,0,6.1021096128970385,True,3,10,15.0,16.54
S1,20,1,6.0427067507989705,True,3,10,15.0,16.54
S1,20,2,6.079428862780333,True,3,10,15.0,16.54
S1,20,3,6.024377208668739,True,3,10,15.0,16.54
S1,20,4,6.076417047996074,True,3,10,15.0,16.54
S1,20,5,6.014983545057476,True,3,10,15.0,16.54
S1,20,6,6.032992636784911,True,3,10,15.0,16.54
S1,20,7,6.091865611728281,True,3,10,15.0,16.54
S1,20,8,6.072150008287281,True,3,10,15.0,16.54
S1,20,9,6.030150870792568,True,3,10,15.0,16.54
S1,21,0,6.035699003841728,True,3,10,15.0,16.61
S1,21,1,6.157218606211245,True,3,10,15.0,16.61
S1,21,2,6.00824039708823,True,3,10,15.0,16.61
S1,21,3,6.100667770020664,True,3,10,15.0,16.61
S1,21,4,6.033089347183704,True,3,10,15.0,16.61
S1,21,5,6.034184141084552,True,3,10,15.0,16.61
S1,21,6,6.0630600322037935,True,3,10,15.0,16.61
S1,21,7,6.0303415902890265,True,3,10,15.0,16.61
S1,21,8,6.091154116205871,True,3,10,15.0,16.61
S1,21,9,6.040099003352225,True,3,10,15.0,16.61
S1,22,0,6.081968401093036,True,3,10,15.0,16.73
S1,22,1,6.064519344829023,True,3,10,15.0,16.73
S1,22,2,6.110323922708631,True,3,10,15.0,16.73
S1,22,3,6.144615157041699,True,3,10,15.0,16.73
S1,22,4,6.120832112152129,True,3,10,15.0,16.73
S1,22,5,6.012430355884135,True,3,10,15.0,16.73
S1,22,6,6.0168535662814975,True,3,10,15.0,16.73
S1,22,7,6.156018781941384,True,3,10,15.0,16.73
S1,22,8,6.051123909186572,True,3,10,15.0,16.73
S1,22,9,6.107769155874848,True,3,10,15.0,16.73
S1,23,0,6.085248915012926,True,3,10,15.0,16.69
S1,23,1,6.050222863908857,True,3,10,15.0,16.69
S1,23,2,6.05592887615785,True,3,10,15.0,16.69
S1,23,3,6.110089964699,True,3,10,15.0,16.69
S1,23,4,6.09378329385072,True,3,10,15.0,16.69
S1,23,5,6.099396655801684,True,3,10,15.0,16.69
S1,23,6,6.1212753700092435,True,3,10,15.0,16.69
S1,23,7,6.108818320557475,True,3,10,15.0,16.69
S1,23,8,6.115220008883625,True,3,10,15.0,16.69
S1,23,9,6.097113688010722,True,3,10,15.0,16.69
S1,24,0,6.036413170862943,True,3,10,15.0,16.52
S1,24,1,6.050938130356371,True,3,10,15.0,16.52
S1,24,2,6.0287557281553745,True,3,10,15.0,16.52
S1,24,3,6.014189377892762,True,3,10,15.0,16.52
S1,24,4,6.026519627775997,True,3,10,15.0,16.52
S1,24,5,6.036967237945646,True,3,10,15.0,16.52
S1,24,6,6.0843822583556175,True,3,10,15.0,16.52
S1,24,7,6.055014009587467,True,3,10,15.0,16.52
S1,24,8,6.052500491961837,True,3,10,15.0,16.52
S1,24,9,6.048173793125898,True,3,10,15.0,16.52
S1,25,0,6.01903212396428,True,3,10,15.0,16.62
S1,25,1,6.104022623971105,True,3,10,15.0,16.62
S1,25,2,6.049248598050326,True,3,10,15.0,16.62
S1,25,3,6.0679451283067465,True,3,10,15.0,16.62
S1,25,4,6.144899474922568,True,3,10,15.0,16.62
S1,25,5,6.098400351125747,True,3,10,15.0,16.62
S1,25,6,6.103368035983294,True,3,10,15.0,16.62
S1,25,7,6.101160136982799,True,3,10,15.0,16.62
S1,25,8,6.025232133921236,True,3,10,15.0,16.62
S1,25,9,6.061785967089236,True,3,10,15.0,16.62
S1,26,0,6.076846094802022,True,3,10,15.0,16.71
S1,26,1,6.1579437321051955,True,3,10,15.0,16.71
S1,26,2,6.112039655447006,True,3,10,15.0,16.71
S1,26,3,6.047168677672744,True,3,10,15.0,16.71
S1,26,4,6.088637766893953,True,3,10,15.0,16.71
S1,26,5,6.034673059359193,True,3,10,15.0,16.71
S1,26,6,6.028803807217628,True,3,10,15.0,16.71
S1,26,7,6.098103132098913,True,3,10,15.0,16.71
S1,26,8,6.113920434843749,True,3,10,15.0,16.71
S1,26,9,6.02131222281605,True,3,10,15.0,16.71
S1,27,0,6.161400695797056,True,3,10,15.0,16.68
S1,27,1,6.068864952772856,True,3,10,15.0,16.68
S1,27,2,6.023231873754412,True,3,10,15.0,16.68
S1,27,3,6.0213000029325485,True,3,10,15.0,16.68
S1,27,4,6.102211412042379,True,3,10,15.0,16.68
S1,27,5,6.127558489330113,True,3,10,15.0,16.68
S1,27,6,6.086179728619754,True,3,10,15.0,16.68
S1,27,7,6.081509432289749,True,3,10,15.0,16.68
S1,27,8,6.131933447904885,True,3,10,15.0,16.68
S1,27,9,6.155331554822624,True,3,10,15.0,16.68
S1,28,0,6.176102614030242,True,3,10,15.0,16.59
