trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
661,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.3900_8.5410_47.3955_8.5465.png,tile_47.3900_8.5630_47.3955_8.5685.png,7.1
662,byzantine,0.3,0.0,0,-30.0,2.0,0.0,tile_47.4065_8.5355_47.4100_8.5410.png,tile_47.4065_8.5575_47.4100_8.5630.png,7.0
663,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.4065_8.5630_47.4100_8.5685.png,tile_47.4065_8.5575_47.4100_8.5630.png,7.0
664,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.4065_8.5465_47.4100_8.5520.png,7.1
665,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.4065_8.5685_47.4100_8.5700.png,tile_47.4065_8.5465_47.4100_8.5520.png,7.0
666,byzantine,0.3,0.0,0,-30.0,2.0,0.1,tile_47.4010_8.5520_47.4065_8.5575.png,tile_47.3955_8.5300_47.4010_8.5355.png,7.0
667,byzantine,0.3,0.0,0,-30.0,2.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,tile_47.4010_8.5685_47.4065_8.5700.png,7.1
668,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,tile_47.3900_8.5410_47.3955_8.5465.png,7.1
669,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.3900_8.5355_47.3955_8.5410.png,tile_47.3900_8.5630_47.3955_8.5685.png,7.2
670,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.3955_8.5685_47.4010_8.5700.png,tile_47.3900_8.5355_47.3955_8.5410.png,7.0
671,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3955_8.5520_47.4010_8.5575.png,tile_47.3955_8.5300_47.4010_8.5355.png,7.0
672,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3900_8.5355_47.3955_8.5410.png,tile_47.3955_8.5300_47.4010_8.5355.png,7.2
673,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.3955_8.5465_47.4010_8.5520.png,tile_47.4065_8.5685_47.4100_8.5700.png,7.0
674,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3900_8.5575_47.3955_8.5630.png,tile_47.3955_8.5410_47.4010_8.5465.png,7.0
675,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,tile_47.4010_8.5575_47.4065_8.5630.png,7.0
676,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4065_8.5410_47.4100_8.5465.png,tile_47.4010_8.5300_47.4065_8.5355.png,7.0
677,byzantine,0.3,0.05,1,0.0,0.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,tile_47.3955_8.5300_47.4010_8.5355.png,7.1
678,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.4065_8.5465_47.4100_8.5520.png,tile_47.4065_8.5575_47.4100_8.5630.png,7.0
679,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,tile_47.3955_8.5355_47.4010_8.5410.png,7.0
680,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,tile_47.4010_8.5355_47.4065_8.5410.png,7.1
681,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.4010_8.5465_47.4065_8.5520.png,tile_47.4010_8.5630_47.4065_8.5685.png,7.0
682,byzantine,0.3,0.05,1,-30.0,2.0,0.1,tile_47.4010_8.5520_47.4065_8.5575.png,tile_47.4065_8.5520_47.4100_8.5575.png,7.1
683,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3955_8.5355_47.4010_8.5410.png,tile_47.4010_8.5355_47.4065_8.5410.png,7.1
684,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4010_8.5520_47.4065_8.5575.png,tile_47.4010_8.5630_47.4065_8.5685.png,7.0
685,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.4010_8.5300_47.4065_8.5355.png,tile_47.4065_8.5630_47.4100_8.5685.png,7.0
686,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.4065_8.5300_47.4100_8.5355.png,7.0
687,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.4010_8.5300_47.4065_8.5355.png,6.9
688,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.3900_8.5630_47.3955_8.5685.png,tile_47.4010_8.5300_47.4065_8.5355.png,7.1
689,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.3900_8.5575_47.3955_8.5630.png,tile_47.3955_8.5300_47.4010_8.5355.png,6.9
690,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.3955_8.5465_47.4010_8.5520.png,7.0
691,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3900_8.5465_47.3955_8.5520.png,tile_47.4065_8.5520_47.4100_8.5575.png,7.1
692,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4010_8.5465_47.4065_8.5520.png,tile_47.3955_8.5575_47.4010_8.5630.png,6.9
693,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4065_8.5410_47.4100_8.5465.png,tile_47.4010_8.5410_47.4065_8.5465.png,7.0
694,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.4065_8.5685_47.4100_8.5700.png,tile_47.3955_8.5410_47.4010_8.5465.png,7.0
695,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.3900_8.5465_47.3955_8.5520.png,tile_47.3900_8.5300_47.3955_8.5355.png,7.0
696,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.4065_8.5685_47.4100_8.5700.png,tile_47.4065_8.5355_47.4100_8.5410.png,7.0
697,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4065_8.5465_47.4100_8.5520.png,tile_47.3955_8.5520_47.4010_8.5575.png,7.0
698,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,tile_47.4065_8.5300_47.4100_8.5355.png,7.0
699,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3955_8.5520_47.4010_8.5575.png,tile_47.3900_8.5300_47.3955_8.5355.png,7.0
700,byzantine,0.3,0.0,0,-30.0,2.0,0.1,tile_47.3955_8.5300_47.4010_8.5355.png,tile_47.3900_8.5465_47.3955_8.5520.png,7.0
701,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3900_8.5520_47.3955_8.5575.png,tile_47.4065_8.5465_47.4100_8.5520.png,7.0
702,byzantine,0.3,0.0,0,-30.0,2.0,0.1,tile_47.4065_8.5575_47.4100_8.5630.png,tile_47.4010_8.5685_47.4065_8.5700.png,7.0
703,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.4065_8.5575_47.4100_8.5630.png,7.0
704,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,tile_47.4065_8.5685_47.4100_8.5700.png,7.0
705,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,tile_47.4065_8.5300_47.4100_8.5355.png,7.0
706,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,tile_47.3900_8.5465_47.3955_8.5520.png,7.0
707,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.4010_8.5300_47.4065_8.5355.png,tile_47.4065_8.5355_47.4100_8.5410.png,7.6
708,byzantine,0.3,0.0,0,30.0,0.0,0.0,tile_47.3900_8.5355_47.3955_8.5410.png,tile_47.3900_8.5410_47.3955_8.5465.png,7.6
709,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4065_8.5520_47.4100_8.5575.png,tile_47.3955_8.5520_47.4010_8.5575.png,7.0
710,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,tile_47.3955_8.5410_47.4010_8.5465.png,7.0
711,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3955_8.5300_47.4010_8.5355.png,tile_47.3955_8.5630_47.4010_8.5685.png,7.0
712,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.3900_8.5685_47.3955_8.5700.png,tile_47.4065_8.5410_47.4100_8.5465.png,7.0
713,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.3955_8.5520_47.4010_8.5575.png,tile_47.3955_8.5465_47.4010_8.5520.png,6.9
714,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.3955_8.5575_47.4010_8.5630.png,tile_47.4010_8.5685_47.4065_8.5700.png,7.0
715,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,tile_47.4065_8.5630_47.4100_8.5685.png,7.0
716,byzantine,0.3,0.0,0,-30.0,2.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,tile_47.4065_8.5355_47.4100_8.5410.png,7.0
717,byzantine,0.3,0.0,0,30.0,0.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,tile_47.4010_8.5575_47.4065_8.5630.png,6.9
718,byzantine,0.3,0.0,0,-30.0,2.0,0.1,tile_47.4010_8.5300_47.4065_8.5355.png,tile_47.3955_8.5630_47.4010_8.5685.png,7.0
719,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4010_8.5685_47.4065_8.5700.png,tile_47.4065_8.5410_47.4100_8.5465.png,7.0
720,byzantine,0.3,0.05,1,30.0,0.0,0.0,tile_47.3900_8.5410_47.3955_8.5465.png,tile_47.3900_8.5300_47.3955_8.5355.png,7.0
721,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.4065_8.5575_47.4100_8.5630.png,7.0
722,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.3900_8.5575_47.3955_8.5630.png,7.6
723,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.4065_8.5300_47.4100_8.5355.png,tile_47.4010_8.5630_47.4065_8.5685.png,6.9
724,byzantine,0.3,0.0,0,30.0,0.0,0.0,tile_47.3955_8.5300_47.4010_8.5355.png,tile_47.4010_8.5685_47.4065_8.5700.png,6.9
725,byzantine,0.3,0.0,0,30.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,tile_47.3955_8.5630_47.4010_8.5685.png,7.0
726,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.3955_8.5465_47.4010_8.5520.png,tile_47.4010_8.5520_47.4065_8.5575.png,7.0
727,byzantine,0.3,0.0,0,30.0,0.0,0.0,tile_47.4065_8.5630_47.4100_8.5685.png,tile_47.4065_8.5575_47.4100_8.5630.png,6.9
728,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.4065_8.5520_47.4100_8.5575.png,tile_47.3900_8.5355_47.3955_8.5410.png,6.9
729,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,tile_47.4065_8.5685_47.4100_8.5700.png,7.0
730,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,tile_47.4010_8.5575_47.4065_8.5630.png,7.1
731,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.4010_8.5575_47.4065_8.5630.png,7.0
732,byzantine,0.3,0.0,0,30.0,0.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,tile_47.4010_8.5355_47.4065_8.5410.png,7.1
733,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.3900_8.5520_47.3955_8.5575.png,tile_47.4065_8.5355_47.4100_8.5410.png,7.0
734,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.3955_8.5300_47.4010_8.5355.png,7.0
735,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4065_8.5355_47.4100_8.5410.png,tile_47.4065_8.5465_47.4100_8.5520.png,7.3
736,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.3900_8.5575_47.3955_8.5630.png,tile_47.4065_8.5520_47.4100_8.5575.png,7.2
737,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3900_8.5355_47.3955_8.5410.png,tile_47.3900_8.5520_47.3955_8.5575.png,7.1
738,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.4010_8.5465_47.4065_8.5520.png,tile_47.4065_8.5575_47.4100_8.5630.png,6.8
739,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.3955_8.5465_47.4010_8.5520.png,6.9
740,byzantine,0.3,0.1,2,0.0,2.0,0.1,tile_47.4010_8.5685_47.4065_8.5700.png,tile_47.4010_8.5630_47.4065_8.5685.png,7.0
741,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,tile_47.3955_8.5465_47.4010_8.5520.png,6.9
742,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.3900_8.5630_47.3955_8.5685.png,tile_47.3900_8.5355_47.3955_8.5410.png,7.2
743,byzantine,0.3,0.0,0,-30.0,2.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,tile_47.4010_8.5520_47.4065_8.5575.png,7.0
744,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.4065_8.5355_47.4100_8.5410.png,tile_47.3900_8.5630_47.3955_8.5685.png,7.0
745,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3900_8.5630_47.3955_8.5685.png,tile_47.4065_8.5355_47.4100_8.5410.png,7.3
746,byzantine,0.3,0.2,4,30.0,0.0,0.1,tile_47.4065_8.5575_47.4100_8.5630.png,tile_47.4010_8.5575_47.4065_8.5630.png,7.2
747,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,tile_47.4065_8.5410_47.4100_8.5465.png,6.9
748,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3955_8.5465_47.4010_8.5520.png,tile_47.4065_8.5300_47.4100_8.5355.png,7.1
749,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4010_8.5520_47.4065_8.5575.png,tile_47.4010_8.5300_47.4065_8.5355.png,7.1
750,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4065_8.5355_47.4100_8.5410.png,tile_47.4065_8.5685_47.4100_8.5700.png,7.0
751,byzantine,0.3,0.05,1,0.0,0.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,tile_47.4010_8.5465_47.4065_8.5520.png,7.0
752,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.3955_8.5575_47.4010_8.5630.png,tile_47.3900_8.5630_47.3955_8.5685.png,7.1
753,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3955_8.5465_47.4010_8.5520.png,tile_47.4010_8.5355_47.4065_8.5410.png,7.1
754,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.4010_8.5355_47.4065_8.5410.png,7.1
755,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.4065_8.5465_47.4100_8.5520.png,tile_47.4065_8.5355_47.4100_8.5410.png,7.0
756,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.3955_8.5355_47.4010_8.5410.png,tile_47.3900_8.5355_47.3955_8.5410.png,7.0
757,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.4010_8.5300_47.4065_8.5355.png,tile_47.3900_8.5520_47.3955_8.5575.png,7.0
758,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.4065_8.5520_47.4100_8.5575.png,tile_47.3900_8.5465_47.3955_8.5520.png,7.0
759,byzantine,0.3,0.0,0,-30.0,2.0,0.0,tile_47.4065_8.5300_47.4100_8.5355.png,tile_47.3955_8.5520_47.4010_8.5575.png,7.0
760,byzantine,0.3,0.0,0,0.0,2.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,tile_47.4065_8.5300_47.4100_8.5355.png,7.1
761,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3955_8.5630_47.4010_8.5685.png,tile_47.4065_8.5630_47.4100_8.5685.png,7.0
762,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4065_8.5520_47.4100_8.5575.png,tile_47.3900_8.5575_47.3955_8.5630.png,7.1
763,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.3900_8.5410_47.3955_8.5465.png,tile_47.3955_8.5630_47.4010_8.5685.png,7.0
764,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.3900_8.5300_47.3955_8.5355.png,tile_47.3955_8.5465_47.4010_8.5520.png,7.0
765,byzantine,0.3,0.0,0,-30.0,0.0,0.1,tile_47.3900_8.5465_47.3955_8.5520.png,tile_47.4065_8.5355_47.4100_8.5410.png,7.0
766,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,tile_47.4010_8.5300_47.4065_8.5355.png,7.0
767,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,tile_47.3955_8.5630_47.4010_8.5685.png,7.0
768,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.3900_8.5685_47.3955_8.5700.png,7.0
769,byzantine,0.3,0.0,0,-30.0,2.0,0.1,tile_47.4010_8.5685_47.4065_8.5700.png,tile_47.3955_8.5355_47.4010_8.5410.png,7.0
770,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.3955_8.5630_47.4010_8.5685.png,7.0
771,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,tile_47.3955_8.5520_47.4010_8.5575.png,7.7
772,byzantine,0.3,0.0,0,-30.0,2.0,0.1,tile_47.4010_8.5410_47.4065_8.5465.png,tile_47.3900_8.5300_47.3955_8.5355.png,7.7
773,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.3900_8.5410_47.3955_8.5465.png,tile_47.3955_8.5410_47.4010_8.5465.png,7.0
774,byzantine,0.3,0.0,0,30.0,0.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,tile_47.4065_8.5685_47.4100_8.5700.png,7.0
