k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,69,1000069,0,0.805,0.8529,0.7164,0.1613,600,3,3,0,20.0,0.0,50.0,50.63
0,70,1000070,0,0.3275,0.3545,0.3148,0.0418,600,3,3,0,20.0,0.0,50.0,50.64
0,71,1000071,0,0.5849,0.627,0.5464,0.085,600,3,3,0,20.0,0.0,50.0,50.64
0,72,1000072,0,0.4692,0.5923,0.506,0.062,600,3,3,0,20.0,0.0,50.0,50.62
0,73,1000073,0,0.2236,0.4903,0.2995,0.1363,600,3,3,0,20.0,0.0,50.0,50.6
0,76,1000076,0,0.4481,0.6672,0.5159,0.1065,600,3,3,0,20.0,0.0,50.0,50.61
0,74,1000074,0,0.8798,0.9372,0.8453,0.0916,600,3,3,0,20.0,0.0,50.0,50.63
0,79,1000079,0,0.3656,0.6301,0.4219,0.1529,600,3,3,0,20.0,0.0,50.0,50.61
0,75,1000075,0,0.5563,0.8502,0.6517,0.1411,600,3,3,0,20.0,0.0,50.0,50.64
0,77,1000077,0,0.6261,1.0088,0.6371,0.2991,600,3,3,0,20.0,0.0,50.0,50.64
0,78,1000078,0,0.2071,0.3289,0.2292,0.0741,600,3,3,0,20.0,0.0,50.0,50.63
0,80,1000080,0,0.7013,0.7841,0.6984,0.0703,600,3,3,0,20.0,0.0,50.0,50.61
0,81,1000081,0,0.393,0.4368,0.3894,0.0408,600,3,3,0,20.0,0.0,50.0,50.63
0,83,1000083,0,0.2825,0.4378,0.2985,0.1065,600,3,3,0,20.0,0.0,50.0,50.61
0,82,1000082,0,0.2408,0.4817,0.2887,0.1428,600,3,3,0,20.0,0.0,50.0,50.64
0,86,1000086,0,0.5108,0.707,0.5491,0.1154,600,3,3,0,20.0,0.0,50.0,50.62
0,84,1000084,0,0.6944,0.9106,0.7081,0.1601,600,3,3,0,20.0,0.0,50.0,50.63
0,87,1000087,0,0.6475,0.852,0.692,0.1182,600,3,3,0,20.0,0.0,50.0,50.62
0,85,1000085,0,0.2821,0.5436,0.3367,0.1522,600,3,3,0,20.0,0.0,50.0,50.64
0,88,1000088,0,0.1635,0.4228,0.2353,0.1344,600,3,3,0,20.0,0.0,50.0,50.62
0,90,1000090,0,0.6066,0.6229,0.5741,0.058,600,3,3,0,20.0,0.0,50.0,50.61
0,89,1000089,0,0.5871,0.8608,0.5603,0.2558,600,3,3,0,20.0,0.0,50.0,50.63
0,92,1000092,0,0.8402,0.8736,0.7635,0.1346,600,3,3,0,20.0,0.0,50.0,50.61
0,91,1000091,0,0.3985,0.7931,0.5143,0.1984,600,3,3,0,20.0,0.0,50.0,50.63
0,94,1000094,0,0.3585,0.4901,0.3595,0.1089,600,3,3,0,20.0,0.0,50.0,50.62
0,93,1000093,0,0.481,0.5781,0.423,0.1564,600,3,3,0,20.0,0.0,50.0,50.63
0,95,1000095,0,0.2794,0.307,0.2694,0.0369,600,3,3,0,20.0,0.0,50.0,50.62
0,96,1000096,0,0.4036,0.5232,0.3281,0.1961,600,3,3,0,20.0,0.0,50.0,50.6
0,97,1000097,0,0.641,0.6887,0.5608,0.149,600,3,3,0,20.0,0.0,50.0,50.63
0,99,1000099,0,0.2968,0.3722,0.2646,0.103,600,3,3,0,20.0,0.0,50.0,50.62
0,98,1000098,0,0.5937,0.6162,0.491,0.161,600,3,3,0,20.0,0.0,50.0,50.64
0,101,1000101,0,0.7415,0.8149,0.761,0.0367,600,3,3,0,20.0,0.0,50.0,50.61
0,100,1000100,0,0.5876,0.7673,0.5952,0.1373,600,3,3,0,20.0,0.0,50.0,50.62
0,102,1000102,0,0.8099,0.925,0.7264,0.2053,600,3,3,0,20.0,0.0,50.0,50.61
0,103,1000103,0,0.214,0.2316,0.1929,0.0436,600,3,3,0,20.0,0.0,50.0,50.62
0,104,1000104,0,0.4855,0.5341,0.401,0.1557,600,3,3,0,20.0,0.0,50.0,50.6
0,105,1000105,0,0.3164,0.4864,0.3317,0.1215,600,3,3,0,20.0,0.0,50.0,50.59
0,108,1000108,0,0.7254,0.7839,0.7275,0.0447,600,3,3,0,20.0,0.0,50.0,50.6
0,106,1000106,0,0.5495,0.6074,0.4489,0.1859,600,3,3,0,20.0,0.0,50.0,50.61
0,110,1000110,0,0.8547,0.8685,0.776,0.1159,600,3,3,0,20.0,0.0,50.0,50.61
0,107,1000107,0,0.5319,0.7361,0.5052,0.2013,600,3,3,0,20.0,0.0,50.0,50.64
